dual_type,type_1,type_2,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Fire/Ground,Fire,Ground,1.0,0.5,4.0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Fire/Flying,Fire,Flying,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
Fire/Psychic,Fire,Psychic,1.0,0.5,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5
Fire/Bug,Fire,Bug,1.0,1.0,2.0,1.0,0.25,0.5,0.5,1.0,1.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,0.5,0.5
Fire/Rock,Fire,Rock,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Fire/Ghost,Fire,Ghost,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5
Fire/Dragon,Fire,Dragon,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
Fire/Dark,Fire,Dark,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
Fire/Steel,Fire,Steel,0.5,1.0,2.0,1.0,0.25,0.25,2.0,0.0,4.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.25,0.25
Fire/Fairy,Fire,Fairy,1.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,1.0,0.5
Water/Electric,Water,Electric,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
Water/Grass,Water,Grass,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
Water/Ice,Water,Ice,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Water/Fighting,Water,Fighting,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
Water/Poison,Water,Poison,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Water/Ground,Water,Ground,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
Water/Flying,Water,Flying,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
Water/Psychic,Water,Psychic,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Water/Bug,Water,Bug,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
Water/Rock,Water,Rock,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Water/Ghost,Water,Ghost,0.0,0.5,0.5,2.0,2.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
Water/Dragon,Water,Dragon,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
Water/Dark,Water,Dark,1.0,0.5,0.5,2.0,2.0,0.5,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,0.5,2.0
Water/Steel,Water,Steel,0.5,1.0,0.5,2.0,1.0,0.25,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Water/Fairy,Water,Fairy,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
Electric/Grass,Electric,Grass,1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
Electric/Ice,Electric,Ice,1.0,2.0,1.0,0.5,1.0,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Electric/Fighting,Electric,Fighting,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
Electric/Poison,Electric,Poison,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Electric/Ground,Electric,Ground,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
Electric/Flying,Electric,Flying,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
Electric/Psychic,Electric,Psychic,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Electric/Bug,Electric,Bug,1.0,2.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
Electric/Rock,Electric,Rock,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Electric/Ghost,Electric,Ghost,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
Electric/Dragon,Electric,Dragon,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
Electric/Dark,Electric,Dark,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,0.5,2.0
Electric/Steel,Electric,Steel,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
Electric/Fairy,Electric,Fairy,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
Grass/Ice,Grass,Ice,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
Grass/Fighting,Grass,Fighting,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0
Grass/Poison,Grass,Poison,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Grass/Ground,Grass,Ground,1.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0
Grass/Flying,Grass,Flying,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Grass/Psychic,Grass,Psychic,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
Grass/Bug,Grass,Bug,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Grass/Rock,Grass,Rock,0.5,1.0,1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
Grass/Ghost,Grass,Ghost,0.0,2.0,0.5,0.5,0.5,2.0,0.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
Grass/Dragon,Grass,Dragon,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
Grass/Dark,Grass,Dark,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
Grass/Steel,Grass,Steel,0.5,4.0,0.5,0.5,0.25,1.0,2.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5
Grass/Fairy,Grass,Fairy,1.0,2.0,0.5,0.5,0.5,2.0,0.5,4.0,0.5,2.0,1.0,1.0,1.0,1.0,0.0,0.5,2.0,1.0
Ice/Fighting,Ice,Fighting,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0
Ice/Poison,Ice,Poison,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,0.5
Ice/Ground,Ice,Ground,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Ice/Flying,Ice,Flying,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
Ice/Psychic,Ice,Psychic,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
Ice/Bug,Ice,Bug,1.0,4.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0
Ice/Rock,Ice,Rock,0.5,1.0,2.0,1.0,2.0,0.5,4.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0
Ice/Ghost,Ice,Ghost,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0
Ice/Dragon,Ice,Dragon,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
Ice/Dark,Ice,Dark,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
Ice/Steel,Ice,Steel,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
Ice/Fairy,Ice,Fairy,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0
Fighting/Poison,Fighting,Poison,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
Fighting/Ground,Fighting,Ground,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,2.0,2.0,0.5,0.25,1.0,1.0,0.5,1.0,2.0
Fighting/Flying,Fighting,Flying,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0
Fighting/Psychic,Fighting,Psychic,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
Fighting/Bug,Fighting,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
Fighting/Rock,Fighting,Rock,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,2.0,2.0
Fighting/Ghost,Fighting,Ghost,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,2.0
Fighting/Dragon,Fighting,Dragon,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,2.0,0.5,1.0,4.0
Fighting/Dark,Fighting,Dark,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.5,0.5,1.0,0.25,1.0,4.0
Fighting/Steel,Fighting,Steel,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0
Fighting/Fairy,Fighting,Fairy,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,0.25,0.5,1.0,0.0,0.25,2.0,2.0
Poison/Ground,Poison,Ground,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Poison/Flying,Poison,Flying,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
Poison/Psychic,Poison,Psychic,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
Poison/Bug,Poison,Bug,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
Poison/Rock,Poison,Rock,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5
Poison/Ghost,Poison,Ghost,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
Poison/Dragon,Poison,Dragon,1.0,0.5,0.5,0.5,0.25,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0
Poison/Dark,Poison,Dark,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
Poison/Steel,Poison,Steel,0.5,2.0,1.0,1.0,0.25,0.5,1.0,0.0,4.0,0.5,1.0,0.25,0.5,1.0,0.5,1.0,0.5,0.25
Poison/Fairy,Poison,Fairy,1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.5,2.0,0.5
Ground/Flying,Ground,Flying,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Ground/Psychic,Ground,Psychic,1.0,1.0,2.0,0.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,1.0
Ground/Bug,Ground,Bug,1.0,2.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ground/Rock,Ground,Rock,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
Ground/Ghost,Ground,Ghost,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.25,1.0,1.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0
Ground/Dragon,Ground,Dragon,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
Ground/Dark,Ground,Dark,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,0.5,1.0,2.0
Ground/Steel,Ground,Steel,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
Ground/Fairy,Ground,Fairy,1.0,1.0,2.0,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,2.0,1.0
Flying/Psychic,Flying,Psychic,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
Flying/Bug,Flying,Bug,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
Flying/Rock,Flying,Rock,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
Flying/Ghost,Flying,Ghost,0.0,1.0,1.0,2.0,0.5,2.0,0.0,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,1.0,1.0
Flying/Dragon,Flying,Dragon,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
Flying/Dark,Flying,Dark,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
Flying/Steel,Flying,Steel,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
Flying/Fairy,Flying,Fairy,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
Psychic/Bug,Psychic,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.25,1.0,0.5,2.0,0.5,2.0,2.0,2.0,1.0,2.0,1.0,1.0
Psychic/Rock,Psychic,Rock,0.5,0.5,2.0,1.0,2.0,1.0,1.0,0.5,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Psychic/Ghost,Psychic,Ghost,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,4.0,1.0,4.0,1.0,1.0
Psychic/Dragon,Psychic,Dragon,1.0,0.5,0.5,0.5,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,2.0,1.0,2.0
Psychic/Dark,Psychic,Dark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0
Psychic/Steel,Psychic,Steel,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
Psychic/Fairy,Psychic,Fairy,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
Bug/Rock,Bug,Rock,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
Bug/Ghost,Bug,Ghost,0.0,2.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,2.0,1.0,0.5,2.0,2.0,1.0,2.0,1.0,1.0
Bug/Dragon,Bug,Dragon,1.0,1.0,0.5,0.5,0.25,2.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
Bug/Dark,Bug,Dark,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.0,2.0,2.0,0.5,1.0,0.5,1.0,2.0
Bug/Steel,Bug,Steel,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Bug/Fairy,Bug,Fairy,1.0,2.0,1.0,1.0,0.5,1.0,0.25,2.0,0.5,2.0,1.0,0.5,2.0,1.0,0.0,0.5,2.0,1.0
Rock/Ghost,Rock,Ghost,0.0,0.5,2.0,1.0,2.0,1.0,0.0,0.25,2.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,2.0,1.0
Rock/Dragon,Rock,Dragon,0.5,0.25,1.0,0.5,1.0,2.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
Rock/Dark,Rock,Dark,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
Rock/Steel,Rock,Steel,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
Rock/Fairy,Rock,Fairy,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,4.0,1.0
Ghost/Dragon,Ghost,Dragon,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0
Ghost/Dark,Ghost,Dark,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Ghost/Steel,Ghost,Steel,0.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,0.5,0.5,0.25,0.5,2.0,0.5,2.0,0.5,0.5
Ghost/Fairy,Ghost,Fairy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,2.0,0.0,1.0,2.0,1.0
Dragon/Dark,Dragon,Dark,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,0.5,1.0,4.0
Dragon/Steel,Dragon,Steel,0.5,1.0,0.5,0.5,0.25,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0
Dragon/Fairy,Dragon,Fairy,1.0,0.5,0.5,0.5,0.5,2.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,2.0
Dark/Steel,Dark,Steel,0.5,2.0,1.0,1.0,0.5,0.5,4.0,0.0,2.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0
Dark/Fairy,Dark,Fairy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.25,2.0,2.0
Steel/Fairy,Steel,Fairy,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5
